[main] DEBUG org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: standard
[main] DEBUG org.apache.http.impl.execchain.MainClientExec  - Executing request GET /repos/mozilla/geckodriver/releases HTTP/1.1
[main] DEBUG org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
[main] DEBUG org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
[main] DEBUG org.apache.http.headers  - http-outgoing-0 >> GET /repos/mozilla/geckodriver/releases HTTP/1.1
[main] DEBUG org.apache.http.headers  - http-outgoing-0 >> User-Agent: Mozilla/5.0
[main] DEBUG org.apache.http.headers  - http-outgoing-0 >> Connection: keep-alive
[main] DEBUG org.apache.http.headers  - http-outgoing-0 >> Host: api.github.com
[main] DEBUG org.apache.http.headers  - http-outgoing-0 >> Accept-Encoding: gzip,deflate
[main] DEBUG org.apache.http.wire  - http-outgoing-0 >> "GET /repos/mozilla/geckodriver/releases HTTP/1.1[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 >> "User-Agent: Mozilla/5.0[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Connection: keep-alive[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Host: api.github.com[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 >> "[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "date: Sat, 02 May 2020 07:54:09 GMT[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "content-type: application/json; charset=utf-8[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "server: GitHub.com[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "status: 200 OK[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "cache-control: public, max-age=60, s-maxage=60[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "vary: Accept, Accept-Encoding, Accept, X-Requested-With[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "etag: W/"bc6a13b311b0bc23dcd7fb289c79e03f"[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "x-github-media-type: github.v3; format=json[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "link: <https://api.github.com/repositories/25354393/releases?page=2>; rel="next", <https://api.github.com/repositories/25354393/releases?page=2>; rel="last"[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "access-control-expose-headers: ETag, Link, Location, Retry-After, X-GitHub-OTP, X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Reset, X-OAuth-Scopes, X-Accepted-OAuth-Scopes, X-Poll-Interval, X-GitHub-Media-Type, Deprecation, Sunset[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "access-control-allow-origin: *[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "strict-transport-security: max-age=31536000; includeSubdomains; preload[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "x-frame-options: deny[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "x-content-type-options: nosniff[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "x-xss-protection: 1; mode=block[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "referrer-policy: origin-when-cross-origin, strict-origin-when-cross-origin[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "content-security-policy: default-src 'none'[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "content-encoding: gzip[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "X-Ratelimit-Limit: 60[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "X-Ratelimit-Remaining: 55[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "X-Ratelimit-Reset: 1588409350[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "Accept-Ranges: bytes[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "Transfer-Encoding: chunked[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "X-GitHub-Request-Id: FEE5:4D9A:99DBE:C9265:5EAD2721[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "0018[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "[0x1f][0x8b][0x8][0x0][0x0][0x0][0x0][0x0][0x0][0x3][0xec][0xbd][0xdb][0x92][0xe3]F[0x96]-[0xf8]+[0x98][0xd0][0x98][0x8d][\r][\n]"
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << HTTP/1.1 200 OK
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << date: Sat, 02 May 2020 07:54:09 GMT
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << content-type: application/json; charset=utf-8
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << server: GitHub.com
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << status: 200 OK
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << cache-control: public, max-age=60, s-maxage=60
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << vary: Accept, Accept-Encoding, Accept, X-Requested-With
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << etag: W/"bc6a13b311b0bc23dcd7fb289c79e03f"
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << x-github-media-type: github.v3; format=json
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << link: <https://api.github.com/repositories/25354393/releases?page=2>; rel="next", <https://api.github.com/repositories/25354393/releases?page=2>; rel="last"
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << access-control-expose-headers: ETag, Link, Location, Retry-After, X-GitHub-OTP, X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Reset, X-OAuth-Scopes, X-Accepted-OAuth-Scopes, X-Poll-Interval, X-GitHub-Media-Type, Deprecation, Sunset
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << access-control-allow-origin: *
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << strict-transport-security: max-age=31536000; includeSubdomains; preload
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << x-frame-options: deny
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << x-content-type-options: nosniff
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << x-xss-protection: 1; mode=block
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << referrer-policy: origin-when-cross-origin, strict-origin-when-cross-origin
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << content-security-policy: default-src 'none'
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << content-encoding: gzip
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << X-Ratelimit-Limit: 60
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << X-Ratelimit-Remaining: 55
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << X-Ratelimit-Reset: 1588409350
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << Accept-Ranges: bytes
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << Transfer-Encoding: chunked
[main] DEBUG org.apache.http.headers  - http-outgoing-0 << X-GitHub-Request-Id: FEE5:4D9A:99DBE:C9265:5EAD2721
[main] DEBUG org.apache.http.impl.execchain.MainClientExec  - Connection can be kept alive indefinitely
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "004ae6[\r][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "[0xb2]O[0x92][0xc4][0x85][0xe0]mZ]'[0x94][0x91][0xaa]JI[0x11][0x91]R2[0xa5][0xae][0x13]J[0xb][0x82]$H"[0x3]$[0xd8][0x0][0x18][0x97]L[0x93]Y[0xbf][0xce][0xfb][0xbc][0x1c][0xb3][0x99][0xc7][0x99][0xf][0xab]/[0x99][0xb5][0xb7];.[0x4][0xc1]k[0x92][0xd1]5[0x92]wu[0x9a][0x2][0x11][0xc0]v[0x87]_[0x16][0x1c][0x8e][0xb5][0xd7][0xba][0xf9]|[0xb6][0x8][0xfd][0xb3][0xce][0xd9]$[0x8e][0xe7]Q[0xa7]Vs[0xe6]^u[0xec][0xc5][0x93]E[0xbf]:[0x8][0xa6][0xb5][0xd0][0x9d][0x7]Qm[0x1a]|[0xf2]|[0xdf][0xa9][0x8d][0xdd][0xc1]]0[0xc][0xbd]{7[0xc4]_|[0xd7][0x89][0xdc][0xa8]f[0xea][\r][0xbb]n[0xb4][0x8d][0xb3][0x97]gN[0x14][0xb9]qt{[0xac][0x88]5[0x11][0xf][0x81][0x17]s?p[0x86][0x85][0xc0][0xe2][0x97][0xd1][0x81][0xd5][0x95][0xc1]?[0xff]e[0xe6]L[0xdd][0x97][0xbe][0xd3]w[0xfd][0xdf]Q[0xd2]$[0x9e][0xfa][0x85]rr[0xcd][0xb1][0xb1]!bg\[0xbb][0xd7][0xab]f[0xa3][0xaa]#[0x90]7<[0xeb]$M[0xf3][0xf2]l[0x16][0xc][0xdd][[0xfa][0xd5][0xd9][0xe5][0xc5][0xa0][0xf1]~[0xfa]K[0xf4]?~[0xfd][0xee][0xd3][0xff][0xe8][0xbe]y[0xb8][0xfa][0xf8]^[0xbf][0xec][0xde]=[0xe2][0x12][0x4][0xb8][0xa5][0xda][0xe0][0xac],N[0xec][0x84]c7[0xbe]EgL[0xbd][0xd8][0x8b]&[0xf8][0xe3][0xd4][0x89]b7[0xc4][0x5][0xf2]d[0xfc]4[0xc][0x9d]Q|[0xd6][0x19]9~[0xe4][0xa2][0x1f][0x16][0xf1]$[0x8][0xcf]:[0x9f][0xcf][0xfc]`[0xec][0xcd]p[0x89]3[0x1b][0x86][0xe8][0xae]8[0x96]5[0xb3][0xda]m[0xc3][0xd4][0x97][0xeb][0xf5]S[0xe3][0x97][0xbf][0xf2][0x7][0x1f]/[0xed][0xeb][0xee][0xeb][0xa7][0xcb][0xf3]o[0xbe][0xa1].[0xbd]wP[0x83]b[0x97][0xf2]/#K6[0xfd]"r[0xc3]A0[0x8b][0xdd]Y[0xcc][0x83]fQ[0x13][0xe1][0xff]r[0xff]M[0x1d]![0xc6][0xa1][0xc][0xc2][0xf7][0x8f]_l[0x1c][0x1f][0x14],[0xaa][0xe5][0xeb][0xbb][0xb9]K[0xf2]g[0x8e][0x2][0xdf][0xf][0x1e]p}[0xb1][0xbe][0xcb][0x83][0xba]PD-[0xbd][0xc]u[0x13]?{[0xb3][0xf1]!!p[0xd9][0xe7]Z[0x10]O\4[0x18]n[0x83][0xc6][0xd3][0xd8][0x8b][0xb6][0xcd][0x88]bu[0xf8][0x92][0xcf]5[0xfa][0xf][0x86][0xc][0x5][0x89][0xd0][0xda][0xa1][[0x1c][0xff][0x85][0xa9]Z[0xc]#/B[0x85][0x1e]f[0xa8][0xcb]g[0x9e][0xcb][0x1c]m[0xd1][0x8f][0x6][0xa1]7[0x8f][0xbd]`[0xb6]gK-][0x8a]PA8vf[0xde]'[0xe7][0x80]P[0xb8]4B[0x4][0x6][0x98][0xfd][0xda][0x9a]/[0xc1][0xa5][0xee]=[0x6][0xdc][0x9e][0xd7][0x8a]k>[0xd7][0xe6][0x0]1g[0xf0]D[0xcd][0x11][0xba][0x3][0x17][0x88]6[0xbc]=$^[0xe1]b[0x84][0x8b][0x9f][0xe6]4[0x81][0xdf][0xa3][0xff][0xa9][0xad][0xbd][0xd8][0xbd]u[0x86]S[0x9a][0x84]<9y6[0xf]][0x9][0x9e][0xe9][0x84][0x1d]`r[0xc6][0xa8][0x82][0x83]9|f[0xea]F[0xbb][0xa2][0xb7]*F[0xa3]k[0xe8][0x9d][0xba][0xd1]1[0xad][0xff][0x81]P[0xf3]E[0xdf][0xc7][0xfc]_:[0xcb][0xd0]+[0x86][0xd1]5[0xad][0x8e]U[0xef][0xe8][\r]:KBf[0xe7][0xe6][0xcb][0x81]][0x84][0xaa][0x19]v[0xbd]n[0x9b][0xed]6[0x82][0xd3][0x4]N[0xe][0x97][0xb1][0xe3][0xf5][0xd3][0xb5][0xff][0xbd][0xdf][0xff][0xeb]/[0x93][0x81][0xf9][0xcb][0xb7][0x3][0xeb][0xca][0x1f]^[0xbc]6[0xae].~2.?[0xde][0xd9][0xb8]TBU[0xee][0x9]R[0x91][0x18]W[0xf1][0xbd][0xd9][0xe2][0xd1]2[0xab][0x18][0xe4][0xd5][0xf1]'[0x9c][0xcb]`|[0xd6][0x99]-|?[0x81]~4f[0xe][0xcd][0x1e]&[0xde][0xb4][0x1f][0x4]I[0x8d][0xcc]vC[0xb7][0xca][0xb1][0xc][0xf5][0xea][0xfe][0xfd][0xe1][0xf2]a+[0x96][0x99]k[0xb1][0xcc][0xe0][0xf0]_[0x80]eYm7#Yv[0xde]^8&/;[0x1c][0xc5][0x96][0x3]|[0x9][0x86]%[0x91][0xbe][0x8][0xc1][0x92] [0xc7][0xc3][0xaf]4b[0x1e][0xf8]0x[0xf6]F[0xaf]$[0xd0][0xbe][0xd8][0x95]\[0xb7]?r%W[0x1e][0x7][0xb7][0xb2]z,A[0x1e][0x9a]b;j[0xc9][0x7][0xfc][0xad]<[0xd3][0x99][0xcf]}o[0xc0][0xc0]_{[0xac][0x8c]?ysDA[0x97][0xc5][0x4]~be[0xe6][0xe][0xe9]W[0xde]'[0xfc][0xc6][0xb4],[0xbd][0xd1]ha[0x9d][0x82][0x87][0x11]/[0xe5][0x6][0xc1]b[0x6][0xb0][0xab][0xeb]F[0xb3][0xfd][0xf2]l[0x15][0xff][0x8][0xd9][0xcc][0xae][0xd1][0xea][0x18][0xcd][0x8e][0xd5]$d[[0xcc][0x87][0x5][0x8c][0xcc][0x9f]Sg[0x8c][0xec][0x87][0xc1][0x3][0x80][0xf7]6-fy[0xa9][0xb1][0xeb]J.[0xb9]<Y[0xce][0xe5][0x17][0xbe][0xeb]`[0xeb][0xf7][0x97][0xc7]E\K[0xa7][0x15]u[0x8a][0xb8]8[0xdc][0x19]q?[0x9d][0xd3]jr[0x1b][0xe2]6[0xea][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "q[0xd3][0xe7][0x88]B[0xdc] [0xa8])[0xc4][0xc5][0x9b][0xc7][0x1f][0x6]q[0xdb][0xba]][0x7][0xb4][0x16][0x11][0xd7]h[0x9b]z[0xbd][0xad]7[0xb6][0x81]n[0xbd][0xbd][0x1d]t[0xed][0xff][0x1a][0xd0][0xcd][0x90][0xeb][0xb8][0xa0]k5Z[0x86][0x95][0x81].[0x1f][0xee][0x6][0xba][0x97][0xe6][0xf5][0xc5]kZ[0xba]n[0x0][0xdd][0xa9]3[0x8][0xa2]= W[0xbd][0xb2][0xe7][0x1e][0xd7][0xc5][0x97][[0xf5][0xca][0xbe]n[0xc7][0xae][0xd8]R[0xea][0x95]}yC[0x9][0xdb] [0xcf][0xbd][0xf8][0xd5][0xf5]F[0xab][0x85][0xcd][0xb6][0x15](6[\r][0xdb]n[0xac]Eb[0xf1]bou[0xea][0xe6]z$N[0xce][0xb1][0xf5][0xe7]^[0xfe].[0xc1][0xd9][0xf1]q[0xd8]\[0xc6]as[0xf][0x1c]~[0xda][0x8c][0xc3][0xf][0xde][0xc][0x9b][\r][0xe2][0x85]e[0xeb]N[0x83][0x2]a[0x5][0xc2]j[0xdf]4[0xae][0x1d]g[0xff]![0x9d]M[0xc7][0x6][0xe1]-[0xdb][0xf]F[0xdd][0xb2]-[0xa3][0xb9][0x8a][0xc0]f[0xb][0x1]2[0x97][0xef]?[0xec][0x3][0xc0]b[0xb9][0xfc][0x9c][0xfb][0xf][0x19][0x8e][0x1d][0x17]}[0xeb]z[0xd3][0xc8][0xa1]/[0x1f][0xee][0x86][0xbe]?=\}z[0xbd][0x1d]}[0xb1]|[0xdf][0x11]}[0xe5][0xbb]X[0xf2](P[0xfb][0xbc][0xd8][0xf4]V[0xfb][0xbc]%[0x9f][0xa9][0xc5][0xa2]W[0xed][0xf3][0xd6][0x96][0x1b][0xe2][0xc8]K[0xdd]m(k[[0xa6][0xd9][0xac][0xaf][0xa2]l[0xd3][0x6][0x84][0xd0][0x17][0x9a]r[0x98]5[0xbb]z[0xbb]c`[0x9d][0xdb]Z[0xbf][0xce][0xe5]sL]~[0xe4]zf[0x98][0x95][0x80][0xf5][0xfb][0x7][0xfa]D[0x1f][0xf6][0x1d][0xbf][0xc8][0x10][0xd8][0x99]4!/[0xcf][0xd1][0x4][0xd0][0xa6]_[0x12]P^[0x9e][0xb][0xd8][0xf][0x86]O[0xd8][0x82][0xff]v[0xe1][0xf9][0xb1]6[\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "[0x83][0xa9]v[0xd3]s[0xdb][0xcd][0x96][0xe5]4[0xea][0xd8]mo[0xf4]>|[0x9d]p=&[0xe3][0xaa]$4T[0xf1]E#ayT[0x6][0xf8][0xac][0x1a]:>[0x9e][0xd1][0xf7][0xb5][0xfc][0x95][0x8e][0xd3][0xee][0xe3])[0xda]j5[0xf5]f[0xa3]a[0xb4][0xea][0xa6]m[0xb7][0x1a]MK[0x1f]6[0xad][0x17][0xd5][0xdf][0xc2][0xdf]f[0xf4][0xef]*[0x88]]-[0x9e]8[0xb1][0xf6][0x0][0x1a][0x9]~[0xf2]"M~[0xee][0xc4][0x81]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "[0xab][0xe1]S[0xa8]7]L[0xf1];[0xa2]4[0xb8][0xb3][0xa1];[0xd4][0xbe][0xf3]Bw[0x14]<j[0xe0][0x95]D[0xf8][0xa0]@a&N[0xa4][\r]&[0xce]l[0x8c]?[0xc7]Az[0xc6]?[0xfe][0x8f][0xff][0xa7][0xa1][0xa7]e}[0xf5][0xd5]W[0xda][0xf]3|R[0xd0][0xe6]a[0xd0][0xf7][0xdd]i[0x94][0xd4][0xa2][0xa2][0xdd][0xe2][0x5][0xe5][0xfa][0x9d]f[0xe8]U[0xc3][0xd6][0xbe]~[0x5][0xc2][0x2][0xbe]3:/:[0xb7][0xc9])[0x9a]v[0xb1]@M[0x3][0xae][0x15][0xcd][0x94]Y[0x8c][0xff][0xfc][0xc7][0x2]uA[0xb5]d[0xdb][0x9d][0xe3]3[0x87][0xbc][0x1d]t;[0x15][0x3]6[0xc3]4[0xd2][0xa6][0x8b]([0xa6]@[0x9a][0xd6]w[0xb5]Y[0x80]~[0xc5]w[0x8e][0xe1]K-[0xf7]}[0x13][0xf7][0x8f]+[0xf0]7[0xed]![0x8][0xef][0xb4]`[0xa6]%[0x95][0xd0][0xbc][0x91][0xf6][0x14],[0xb4][0xa9]3[ [0xea][0x93][0x8][0x94][0xbc][0x1d]j^[0x8c]*[0x85][0xc1]b<[0xd1][0x1c]\[0xe]6AVBR[0x83][0x97]Z[0xb4][0x18][0xe0][0xef]Q[0xd2]2i[0x9b]h[0xda][0xaf][0x13][0xcf][0x8f]P[0xaa][0xab]9[0xa1][0xcb][0x85][0xe3][0x9b][0x1e][0x95][0xef][0xe0][0xfe][0xe6][0xce][0xe0][0xce][0x1]'d[0xac][0x8d][0xbc]Gm[0x14][0x84][0xa2][0x87]d[0xfb][0xbd][0xa4]z[0x89][0xea][0xc][0x9c][0x19]N[0x99][\r][0xb5]i[0x80](C7v[0x10][0x95][0xa2]L[0x82][0x7]j5[0xbe])[0x7][0xd5][0xc4])[0xdc][0xc9]^[0x14][0xa1]=[0xbd][0x19][0xb5][0xa7][0x8]q#[0xba]@6[0xf]+[0xfa][0xa0]E[0xee][0x80]~[0xd0][0x82][0x11]7[0xfc]0[0x18],[0xa8][0xb9][0xf9][0xaf][0xe9]M[0xa0][0xfb]~E[0xd9][0xf8][0x98][0x93][0xef][0xaf][0xbf]S[0x9b][0xa1][0xe1][0xb5]([0xa6][0xa6][0x9d]8[0xf7][0xd4]5[0xae]vs[0xe9][\r][0xc2] [\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "F[0xb1][0xf6][0x8b][0x17][0xa1]I[0xb5]w[0xf1]b[0xe8][0x5][0xb8][0xdd]!H[0x14][0xa1][0xd7]_[0xc4][0xe][0x86][0x87][0xa8]U[0x88][0xf]O[0xde][0xd4][0xfd][0x80][0xaa]b[0xc3][0xdb][0xf7]1[0xc0]P[0x1d][0xdc]w[0xa8]EO [0xd6]Le[0xab][0xb8]Z[0x1f][0x3]&|[0xa2][0x9b][0xc5]5UM[0xeb][0xe2]6E[0xc][0xdc][0xae][0xa3][0xdd][0xf1][0xc8][0xeb]/[0xc6][0x1a][0x1e]<[0xe8][0xc]48[0xb8]'[0xee][0xec][0x8b]5*m[0xb9][0x81][0xe5][0x14]X[0x1a][0xba][0xe7]C[0xc][0xfe]l[0xc4][0xbe][[0xcc][0xe7]A[0x88][0x81][0x87]NIf[0x4]jv[0xe][0xea]N[0xe0][0xa5][0xe7]i[0xb8]9'[0x8c][0xa9][0x7]W'X~[0xf8]Q[0x1d][0xa9][0x1a][0xa8]>[0xbe][0xdd][0xcd][0xd0][0xec][0xf8]QT5[0xba][0xbc][0xf5][0xe8]%[0x86][0x1c]O8[0xfa][0xdc][0x17][0x6][0x18][0xf1]<^[0xdc]H[0xeb][0x83][0xec]E-%[0xbb][0xf6][0xaf]D[0x5][0xfb][0xc5]s[0x1f]>[0xe4]F^[0xfe][0xe]d[0xb5]y[0x9c][0xe0]j4#z*_?[0xc][0xb9][0x81][0x1b][0x1][0x1c][0x16][0xb3][0x99][0x18][0xa0]"[0xb4][0x83][0x11]F},[0xfa][0x82][0xaa][0x93]T79[0x93][0xee][0x1b][0xe3][0xcc][0xc5]070N[0xdd][0xe9][0xc2]wb4[[0x10][0x8a][0x18]<[0xd8][0xe7][0x93][0xa7][0x8][0x9f](}[0xc][0xde]{o[0xe0]&[0xad] [0x0][0x85]j[0x93]+G[0xf6]n[0x2][0x0][0xb2][0x9b]i[0x92][0xa2]-F^[0x88][\n]"
[main] DEBUG org.apache.http.wire  - http-outgoing-0 << "[0xdd][0xb8]3nO[0xc0][0x3]A[0xdc][0xd0]E[0xcf][0xf3]DBa[0x14]-[0xb9]aQZ[0xbe]Y[0xba][0xf8][0xeb][0xaf]n[0xff][0x82][0x89]s[0xda][0xc0][0xf7][0x8]^[0xc4]@vi[0xae]c[0x4][0xf7][0xe6][0xb8][0x1]t[0xfc][0xf4][\n]"
